GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mercado,br.ufpb.dsc.mercado.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
mercado,br.ufpb.dsc.mercado.config,SecurityConfig,0,220,0,0,0,24,0,9,0,9
mercado,br.ufpb.dsc.mercado.config,GlobalModelAttributes,0,6,0,0,0,2,0,2,0,2
mercado,br.ufpb.dsc.mercado.config,CorsConfig.new WebMvcConfigurer() {...},0,50,0,0,0,5,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,MensagemController,0,23,0,0,0,9,0,3,0,3
mercado,br.ufpb.dsc.mercado.controller,AuditLogController,0,26,0,0,0,6,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,AuthController,0,20,0,0,0,7,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,AdminChatController,43,128,8,6,9,32,8,2,1,2
mercado,br.ufpb.dsc.mercado.controller,SpaController,0,5,0,0,0,2,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,ProdutoController,0,61,0,0,0,14,0,6,0,6
mercado,br.ufpb.dsc.mercado.controller,PingController,0,12,0,0,0,3,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,ChatIAController,0,14,0,0,0,5,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,FavoritoController,10,76,0,2,0,20,2,5,2,4
mercado,br.ufpb.dsc.mercado.service,ProdutoService,0,99,0,4,0,25,0,10,0,8
mercado,br.ufpb.dsc.mercado.service,GeminiService,0,47,0,0,0,19,0,2,0,2
mercado,br.ufpb.dsc.mercado.service,MensagemService,0,27,0,0,0,10,0,3,0,3
mercado,br.ufpb.dsc.mercado.service,AuthService,0,45,0,4,0,10,0,4,0,2
mercado,br.ufpb.dsc.mercado.exception,ProdutoNaoEncontradoException,4,5,0,0,2,2,1,1,1,1
mercado,br.ufpb.dsc.mercado.domain,Produto,0,101,0,0,0,41,0,20,0,20
mercado,br.ufpb.dsc.mercado.domain,AuditLog,3,64,1,1,1,28,1,15,0,15
mercado,br.ufpb.dsc.mercado.domain,Favorito,0,35,0,0,0,11,0,10,0,10
mercado,br.ufpb.dsc.mercado.domain,Mensagem,0,46,0,0,0,20,0,11,0,11
mercado,br.ufpb.dsc.mercado.domain,Usuario,0,56,0,0,0,24,0,15,0,15
mercado,br.ufpb.dsc.mercado,MercadoApplication,5,3,0,0,2,1,1,1,1,1
mercado,br.ufpb.dsc.mercado.aspect,AuditAspect,65,140,22,12,10,32,16,5,0,4
mercado,br.ufpb.dsc.mercado.dto,GeminiResponse.Content,0,6,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,GeminiResponse,0,6,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,MensagemForm,0,12,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,ProdutoForm,0,15,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,GeminiResponse.Candidate,0,6,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,GeminiResponse.Part,0,6,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.dto,LoginResponse,0,12,0,0,0,1,0,1,0,1
